Marca temporal,"1. Edad: ______ (Respuesta corta, validada como número).",  2.  Sexo/Género:,3. ¿A qué te dedicas principalmente?,4. ¿Cuánto tiempo llevas viviendo en O Milladoiro?,5. ¿Con qué frecuencia participas en actividades organizadas por la Parroquia de O Milladoiro?,"6. Del 1 al 5, ¿cuánta conexión sientes con el mensaje o lenguaje que se usa en la iglesia hoy?","7. Si tuvieras que elegir UNA razón por la que no participas más, ¿cuál sería?",8. ¿Qué tipo de actividad te haría considerar acercarte más? (Elige máximo 2).,9. ¿En qué horario es más probable que asistas a algo un domingo?,10. ¿Te resultaría útil una vía de contacto por WhatsApp/Instagram para conocer gente y actividades de tu edad en el pueblo?
24/03/2026 13:55:11,33,Hombre,• Trabajador/a.,• Toda la vida.,• Nunca o casi nunca,3,• Los horarios no coinciden con mi vida,"• Voluntariado activo (Ayuda directa a gente del pueblo), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Mañana (11:00 - 12:30),• Solo para recibir información puntual
24/03/2026 14:17:11,30,Mujer,• Trabajador/a.,• Entre 2 y 10 años,• Nunca o casi nunca,1,• Los temas que se tratan no me interesan,"• Voluntariado activo (Ayuda directa a gente del pueblo), • Eventos sociales (Cenas, música en directo, debates)",• Mañana (11:00 - 12:30),• No me interesa
24/03/2026 15:38:12,43,Mujer,• Trabajador/a.,Opción 3,• Nunca o casi nunca,1,• Los temas que se tratan no me interesan,• Voluntariado activo (Ayuda directa a gente del pueblo),• Mañana (11:00 - 12:30),• No me interesa
24/03/2026 21:41:41,37,Mujer,• Opositor/a o en búsqueda de empleo.,• Toda la vida.,• Nunca o casi nunca,2,• No conozco a gente de mi edad allí,"• Eventos sociales (Cenas, música en directo, debates)",• Tarde (18:00 - 19:30),"• Sí, me gustaría participar"
24/03/2026 21:44:19,46,Mujer,• Trabajador/a.,• Entre 2 y 10 años,• Nunca o casi nunca,3,• Los horarios no coinciden con mi vida,"• Eventos sociales (Cenas, música en directo, debates)",• Mañana (11:00 - 12:30),• No me interesa
24/03/2026 21:44:25,35,Mujer,• Trabajador/a.,• Entre 2 y 10 años,• Nunca o casi nunca,3,• Los horarios no coinciden con mi vida,"• Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Mañana (11:00 - 12:30),"• Sí, me gustaría participar"
24/03/2026 21:44:56,42,Mujer,• Opositor/a o en búsqueda de empleo.,• Entre 2 y 10 años,• Nunca o casi nunca,5,,"• Voluntariado activo (Ayuda directa a gente del pueblo), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Mañana (11:00 - 12:30),"• Sí, me gustaría participar"
24/03/2026 21:50:43,40,Mujer,• Estudiante (Instituto/Ciclo).,• Menos de 2 años (Nuevo/a en el pueblo).,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",,• Los horarios no coinciden con mi vida,• Voluntariado activo (Ayuda directa a gente del pueblo),• Mañana (11:00 - 12:30),• No me interesa
24/03/2026 21:50:45,35,Mujer,• Trabajador/a.,• Entre 2 y 10 años,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",3,• Los horarios no coinciden con mi vida,"• Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Mañana (11:00 - 12:30),"• Sí, me gustaría participar"
24/03/2026 21:55:04,33,Mujer,• Trabajador/a.,• Entre 2 y 10 años,• Semanalmente,5,• Los horarios no coinciden con mi vida,"• Voluntariado activo (Ayuda directa a gente del pueblo), • Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés)",• Mañana (11:00 - 12:30),"• Sí, me gustaría participar"
24/03/2026 22:04:45,42,Mujer,• Trabajador/a.,• Entre 2 y 10 años,• Nunca o casi nunca,1,,,,• Solo para recibir información puntual
24/03/2026 22:12:05,37,Mujer,• Trabajador/a.,• Entre 2 y 10 años,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",5,• Los horarios no coinciden con mi vida,"• Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Tarde (18:00 - 19:30),• Solo para recibir información puntual
24/03/2026 22:28:34,38,Hombre,• Trabajador/a.,• Entre 2 y 10 años,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",2,• No conozco a gente de mi edad allí,"• Eventos sociales (Cenas, música en directo, debates)",• Mañana (11:00 - 12:30),"• Sí, me gustaría participar"
24/03/2026 22:32:31,40,Mujer,• Trabajador/a.,Opción 3,"• Solo en fechas señaladas (Navidad, Fiestas, etc.).",1,• Siento que es un ambiente demasiado tradicional,"• Eventos sociales (Cenas, música en directo, debates), • Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Tarde (18:00 - 19:30),"• Sí, me gustaría participar"
25/03/2026 7:41:58,39,Mujer,• Trabajador/a.,• Entre 2 y 10 años,• Nunca o casi nunca,1,• Los temas que se tratan no me interesan,"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Mañana (11:00 - 12:30),• No me interesa
25/03/2026 11:22:47,34,Mujer,• Trabajador/a.,• Menos de 2 años (Nuevo/a en el pueblo).,• Semanalmente,4,• No conozco a gente de mi edad allí,• Voluntariado activo (Ayuda directa a gente del pueblo),• Mañana (11:00 - 12:30),"• Sí, me gustaría participar"
25/03/2026 14:50:07,35,Mujer,• Trabajador/a.,• Entre 2 y 10 años,• Nunca o casi nunca,1,• Siento que es un ambiente demasiado tradicional,"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Mañana (11:00 - 12:30),• No me interesa
25/03/2026 15:01:16,34,Mujer,• Estudiante (Instituto/Ciclo).,• Entre 2 y 10 años,• Semanalmente,4,• Los horarios no coinciden con mi vida,"• Espiritualidad moderna (Meditación, silencio, reflexión sobre la ansiedad/estrés)",• Mañana (11:00 - 12:30),"• Sí, me gustaría participar"
25/03/2026 19:00:54,52,Mujer,• Trabajador/a.,Opción 3,• Nunca o casi nunca,1,• Los temas que se tratan no me interesan,"• Deporte o excursiones (Rutas, Camino de Santiago, ligas)",• Mañana (11:00 - 12:30),• Solo para recibir información puntual
26/03/2026 11:01:39,28,Mujer,• Trabajador/a.,Opción 3,• Nunca o casi nunca,1,• Los horarios no coinciden con mi vida,• Voluntariado activo (Ayuda directa a gente del pueblo),• Noche (20:00 - 21:30),"• Sí, me gustaría participar"
